2022-09-16 10:12:54,466 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283921?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 1, 'result': '', 'title': '강서구 원도심 활성화 구민 소통서포터즈 모집 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-07', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:55,351 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283657?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 2, 'result': '', 'title': '청년월세 한시 특별지원 온라인신청 한시 중단 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-25', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:55,351 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283657?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 2, 'result': '', 'title': '청년월세 한시 특별지원 온라인신청 한시 중단 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-25', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,068 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283601?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 3, 'result': '', 'title': '마곡 문화의 거리 버스킹 공연 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-22', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,068 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283601?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 3, 'result': '', 'title': '마곡 문화의 거리 버스킹 공연 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-22', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,068 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283601?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 3, 'result': '', 'title': '마곡 문화의 거리 버스킹 공연 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-22', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,335 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283140?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 4, 'result': '', 'title': '2022년 하반기 (재)강서구장학회 모범장학생 선발 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-01', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,335 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283140?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 4, 'result': '', 'title': '2022년 하반기 (재)강서구장학회 모범장학생 선발 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-01', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,335 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283140?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 4, 'result': '', 'title': '2022년 하반기 (재)강서구장학회 모범장학생 선발 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-01', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:56,335 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/283140?srchCtgry=&srchStdg=&fieldTy=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 4, 'result': '', 'title': '2022년 하반기 (재)강서구장학회 모범장학생 선발 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-08-01', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,059 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284087?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 5, 'result': '', 'title': '건설공사(건축분야)안전점검 수행기관 지정을 위한 모집 결과 공지[마곡 일반산업단지 D40-2 연구시설 신축공사]', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-15', 'center_name ': '강서구_공지사항'}
